subid,dot,dob,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude
061212_14,6/12/12,5/12/07,1,2,5,5,2,6,6,1,1.37,1.91,1,5.09,5,0
061212_2,6/12/12,4/20/07,2,2,2,1,NaN,3,3,2,0.79,0.7,1,5.15,5,0
061212_3,6/12/12,5/1/08,1,2,2,5,2,6,6,1,0.27,1.31,1,4.11,4,0
061212_4,6/12/12,6/7/10,2,2,5,6,1,6,6,1,0.24,0.66,0,2.02,2,5
061212_5,6/12/12,9/1/08,2,2,5,6,1,3,1,1,0.82,0.44,1,3.78,3,0
061212_6,6/12/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
061212_7,6/12/12,3/15/08,2,2,5,5,3,5,6,1,0.53,1.62,1,4.24,4,0
061212_8,6/12/12,4/18/08,1,2,2,4,2,6,6,1,2.59,1.26,1,4.15,4,0
061212_9,6/12/12,11/5/05,2,2,2,6,1,4,4,NaN,0.61,0.52,0,6.6,6,0
061312_1,6/13/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
061312_10,6/13/12,3/2/09,1,2,5,6,1,4,6,1,0.27,0.89,0,3.28,3,0
061312_11,6/13/12,7/27/07,2,2,5,6,1,4,4,1,0.98,1.07,0,4.88,4,0
061312_2,6/13/12,11/3/06,2,1,5,5,2,4,4,1,1.53,1.29,1,5.61,5,0
061312_3,6/13/12,12/16/08,2,2,2,6,1,6,6,1,1.24,1.28,0,3.49,3,0
061312_4,6/13/12,10/8/09,2,1,5,6,1,3,2,1,0.84,1.06,1,2.68,2,4
061312_5,6/13/12,1/18/08,1,1,5,6,1,3,2,1,3.84,1.69,1,4.4,4,0
061312_6,6/13/12,12/12/08,2,2,2,3,2,6,6,1,0.66,1.22,1,3.5,3,0
061312_7,6/13/12,9/18/06,1,2,5,5,2,6,6,1,1.33,1.08,0,5.74,5,0
061312_8,6/13/12,12/10/08,1,2,6,6,1,4,6,2,2.74,2.35,1,3.51,3,0
061312_9,6/13/12,8/19/08,2,2,2,3,2,6,6,1,0.14,0.92,1,3.82,3,0
062512_001,6/25/12,9/3/09,1,2,2,6,2,6,4,1,1.84,2.2,1,2.81,2,0
062512_002,6/25/12,11/3/07,2,2,2,6,1,4,4,1,NaN,NaN,1,4.65,4,0
062512_003,6/25/12,9/6/10,2,1,6,5,3,4,4,1,14.6,8.73,1,1.8,1,0
062612_004,6/25/12,4/11/09,1,2,5,6,1,4,4,1,0.86,0.83,1,3.21,3,0
062512_005,6/25/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
062512_007,6/25/12,5/21/10,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.1,2,0
062512_010,6/25/12,5/28/11,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81,1.1,1,1.08,1,0
062512_011,6/25/12,1/21/09,2,2,2,3,2,4,3,1,6.78,6.24,1,3.43,3,0
062612_008,6/26/12,3/31/11,2,2,3,6,1,5,5,1,0.59,1.24,1,1.24,1,5
062612_01,6/26/12,5/14/10,2,2,6,5,1,6,6,1,0.37,0.27,1,2.12,2,0
062612_02,6/26/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63,0.25,1,NaN,NaN,4
062612_03,6/26/12,10/5/09,1,2,5,6,1,4,6,1,0.78,0.83,1,2.73,2,0
062612_04,6/26/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,0
062612_05,6/26/12,10/15/08,1,2,6,6,2,5,5,1,1.03,3,1,3.7,3,0
062612_06,6/26/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
062612_07,6/26/12,9/4/09,2,2,6,5,2,6,6,2,0.79,1.65,1,2.81,2,0
062612_08,6/27/12,2/27/09,2,2,6,6,3,4,4,1,0.75,0.53,0,3.33,3,0
062612_09,6/26/12,12/13/10,2,2,2,5,2,6,6,1,0.81,0.83,1,1.54,1,0
062612_10,6/26/12,3/26/09,1,2,6,6,1,4,3,1,4.34,5.43,1,3.25,3,0
062612_11,6/26/12,9/3/09,2,2,5,6,2,4,6,1,0.35,0.79,1,2.81,2,0
062612_12,6/26/12,4/8/10,2,2,4,5,3,6,6,1,0.86,1.08,1,2.22,2,0
062612_12-1,6/27/12,12/20/08,1,2,6,6,1,6,4,1,,,1,3.52,3,0
062612_13,6/26/12,12/6/09,2,1,6,6,1,5,2,1,2.42,1.22,1,2.56,2,0
062612_14,6/27/12,6/19/10,2,2,6,3,2,4,6,1,0.38,1.23,1,2.02,2,0
062612_16,6/27/12,6/27/08,2,2,2,6,2,6,6,1,1.01,0.96,1,4,4,0
062612_17,6/27/12,4/26/09,1,2,6,4,3,6,6,1,0.99,1.13,1,3.17,3,0
062612_18,6/27/12,1/5/10,1,2,6,4,2,4,3,1,0.25,1.18,0,2.48,2,4
062612_19,6/27/12,10/4/09,2,2,2,4,2,6,6,1,1.25,0.95,1,2.73,2,0
062612_20,6/27/12,2/21/11,2,2,5,6,1,6,NaN,1,2.19,0.77,1,1.35,1,1
062712_01,6/27/12,12/22/10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99,1.41,1,1.52,1,0
062712_02,6/27/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
062712_03,6/27/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
062712_04,6/27/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
062712_05,6/27/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
062712_06,6/27/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
062712_09,6/27/12,7/8/10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.97,1,0
062712_10,6/27/12,12/22/10,1,2,5,5,2,6,6,1,NaN,NaN,0,1.52,1,0
062712_13,6/27/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
062812_01,6/28/12,2/28/10,1,2,5,6,1,6,6,1,1.08,0.5,1,2.33,2,0
062812_02,6/28/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
062812_03,6/28/12,1/5/09,1,2,5,6,2,6,2,1,2.16,1.66,1,3.48,3,0
062812_04,6/28/12,3/26/11,2,2,5,6,1,4,4,1,13.85,6.75,1,1.26,1,0
062812_05,6/28/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27,0.88,1,NaN,NaN,4
062812_06,6/28/12,7/22/10,2,2,NaN,5,2,6,NaN,1,1.78,2.84,1,1.94,1,0
062812_07,6/28/12,9/13/09,2,2,5,6,2,4,4,1,0.44,0.81,1,2.79,2,0
062812_08,6/28/12,1/31/11,1,2,2,5,2,6,6,1,14.45,7.94,0,1.41,1,0
062812_09,6/28/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070312_01,7/3/12,7/2/11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1.01,1,0
070312_02,7/3/12,3/30/10,2,2,5,6,1,6,4,1,0.99,0.73,1,2.26,2,0
070312_03,7/3/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070312_04,7/3/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070312_05,7/3/12,3/9/08,1,2,2,4,2,4,4,1,4.11,5.08,1,4.32,4,0
070312_06,7/3/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
070312_07,7/3/12,5/14/09,2,2,6,6,2,1,4,1,1.65,0.95,0,3.14,3,0
070312_08,7/3/12,7/21/10,1,2,5,3,3,6,6,1,0.36,1.31,1,1.95,1,0
070312_09,7/3/12,4/1/10,2,2,6,5,2,6,6,1,0.5,0.29,1,2.26,2,0
070312_10-1,7/3/12,5/10/11,1,2,2,2,3,4,4,1,0.59,0.95,1,1.15,1,0
070312_11,7/3/12,12/14/07,1,2,5,6,1,3,2,1,1.16,1.79,1,4.56,4,0
070512_01,7/5/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070512_02,7/5/12,11/12/08,1,2,5,6,1,3,3,1,10.1,10.13,1,3.65,3,0
070512_03,7/5/12,2/9/10,2,2,6,6,1,6,6,NaN,1.48,1.37,1,2.4,2,0
070512_04,7/5/12,1/3/10,1,1,2,5,3,4,4,1,0.82,1.03,1,2.5,2,0
070512_05,7/5/12,1/19/09,2,1,5,5,2,6,4,1,0.72,1.56,1,3.46,3,0
070512_06,7/5/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.29,1.3,1,NaN,NaN,0
070512_07,7/5/12,5/21/08,2,2,2,4,2,4,3,1,1.39,1.37,1,4.13,4,0
070512_08,7/5/12,8/13/09,1,2,2,5,1,6,4,2,0.82,0.19,1,2.9,2,5
070512_09,7/5/12,7/9/11,1,1,6,6,2,1,5,1,8.54,4.26,1,0.99,0,0
070512_10,7/5/12,6/16/08,1,2,5,6,1,4,6,1,1.04,1.21,1,4.05,4,0
070512_11,7/5/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070512_12,7/5/12,7/7/07,1,2,5,5,2,6,6,1,2.21,1.83,1,5,5,0
070512_13,7/5/12,5/16/09,2,2,2,3,2,6,6,1,0.31,0.31,1,3.14,3,0
070512_14,7/5/12,11/18/10,1,2,5,5,2,6,4,2,0.91,1.14,1,1.63,1,0
070512_15,7/5/12,11/6/07,1,2,2,5,2,4,5,1,4.02,3.83,1,4.67,4,0
070512_16,7/5/12,7/26/10,1,2,2,5,2,4,4,1,1.2,1.65,1,1.95,1,0
070912_01,7/9/12,7/20/10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72,1.03,1,1.97,1,0
070912_02,7/9/12,3/21/09,1,2,2,3,2,6,6,1,NaN,NaN,1,3.3,3,0
070912_03,7/9/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04,0.57,1,NaN,NaN,0
070912_04,7/9/12,12/28/10,2,2,5,6,1,4,4,1,2.51,4.74,1,1.53,1,0
070912_05,7/9/12,11/7/07,2,2,5,6,1,4,4,1,4.64,3.17,1,4.67,4,0
070912_06,7/9/12,7/1/09,2,1,5,3,2,4,6,2,1.49,0.53,1,3.02,3,0
070912_07,7/9/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2,5.09,1,NaN,NaN,0
070912_08,7/9/12,3/12/08,2,2,5,5,2,6,4,1,3.91,1.78,1,4.33,4,0
070912_09,7/9/12,3/15/11,1,2,6,6,1,4,3,1,1.31,2.28,1,1.32,1,0
070912_10,7/9/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070912_11,7/9/12,12/30/10,1,2,2,4,2,6,4,1,0.41,1.21,1,1.53,1,0
070912_12,7/9/12,5/26/09,1,2,2,4,2,6,4,1,0.8,2.24,1,3.12,3,0
070912_13,7/9/12,6/22/10,2,NaN,6,6,1,1,1,1,0.31,0.79,1,2.05,2,0
070912_14,7/9/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
070912_15,7/9/12,12/25/07,1,2,2,3,3,6,6,1,0.54,1.66,1,4.54,4,0
071012_01,7/10/12,6/24/10,1,2,5,6,1,6,6,2,0.19,0.66,1,2.05,2,0
071012_02,7/10/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.64,1.65,1,NaN,NaN,0
071012_03,7/10/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
071012_04,7/10/12,3/4/09,1,1,6,6,1,6,2,1,5.55,6.04,1,3.35,3,0
071012_05-2,7/10/12,8/6/11,1,2,5,3,2,3,2,1,0.57,1.12,1,0.93,0,0
071012_06,7/10/12,10/18/09,1,2,2,6,1,6,6,NaN,0.66,0.76,1,2.73,2,0
071012_07,7/10/12,5/3/11,1,1,NaN,4,3,3,3,1,1.38,3.29,1,1.19,1,0
071012_08,7/10/12,6/21/10,2,2,2,5,2,4,6,2,0.64,1.28,1,2.05,2,0
071012_09,7/10/12,4/28/08,1,2,2,5,2,NaN,NaN,NaN,0.22,0.6,1,4.2,4,0
071012_10,7/10/12,4/16/10,1,2,5,6,1,6,4,1,0.89,0.73,1,2.24,2,0
071112_01,7/11/12,6/12/10,2,1,NaN,4,2,NaN,NaN,1,0.49,0.47,0,2.08,2,5
071112_02,7/11/12,9/12/10,2,2,2,1,1,6,6,1,0.72,0.39,1,1.83,1,0
071112_03,7/11/12,12/17/09,2,1,6,1,1,4,3,1,0.65,1.46,1,2.57,2,0
071112_04,7/11/12,4/11/09,2,2,2,6,1,6,6,1,0.67,0.8,1,3.25,3,0
071112_05,7/11/12,2/10/09,1,2,5,6,1,3,4,1,0.94,0.69,1,3.42,3,0
071112_06,7/11/12,1/6/11,1,2,6,5,2,6,4,1,4.35,3.67,1,1.51,1,0
071112_07,7/11/12,6/24/09,1,2,2,5,1,6,6,2,1.19,1.64,1,3.05,3,0
071112_08,7/11/12,12/17/07,1,2,5,5,2,6,5,1,0.38,0.87,1,4.57,4,0
071112_09,7/11/12,4/22/08,1,2,5,6,1,4,4,1,2.09,1.79,1,4.22,4,0
071112_10,7/11/12,6/5/11,1,2,2,3,2,6,4,1,1.07,1.14,1,1.1,1,0
071112_11,7/11/12,12/20/08,1,2,6,6,3,4,4,1,1.83,2.66,1,3.56,3,0
071112_12,7/11/12,7/4/11,1,2,3,5,2,4,4,1,0.47,0.46,1,1.02,1,0
071112_13,7/11/12,2/26/11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61,0.55,1,1.37,1,0
071112_14,7/11/12,4/9/11,2,2,5,6,1,4,3,1,2.07,1.08,1,1.26,1,0
071212_01,7/12/12,8/12/10,1,1,5,6,1,6,6,1,0.69,0.27,1,1.92,1,0
071212_02,7/12/12,9/1/07,2,2,5,6,1,4,6,1,0.34,0.1,1,4.87,4,0
071212_03,7/12/12,4/23/10,2,2,5,6,1,4,6,1,1.05,1.32,1,2.22,2,0
071212_04,7/12/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
071212_05-1,7/12/12,8/24/08,1,2,2,6,1,6,6,1,0.49,1.75,1,3.88,3,0
071212_06,7/12/12,8/14/09,1,2,6,4,2,6,6,1,0.32,1.64,1,2.91,2,0
071212_07,7/12/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
071212_08,7/12/12,9/29/08,2,1,5,5,2,3,2,1,0.63,0.36,1,3.79,3,0
071212_09,7/12/12,6/11/08,2,2,5,5,2,6,4,2,0.84,1.82,1,4.09,4,0
071212_10,7/12/12,7/14/08,1,2,5,6,1,2,2,1,0.94,0.55,1,4,3,1
071212_11,7/12/12,3/12/08,1,NaN,NaN,6,1,5,4,1,4.41,6.18,0,4.34,4,0
071612_04,7/16/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
071612_01,7/16/12,12/4/08,2,2,5,6,1,3,4,1,2.61,5.55,1,3.62,3,0
071612_02,7/16/12,3/23/10,2,2,5,6,1,6,6,1,2.04,2.45,1,2.32,2,0
071612_03,7/16/12,11/20/08,1,2,5,6,1,6,4,1,0.73,1.28,1,3.65,3,0
071612_05,7/16/12,2/26/10,1,2,5,5,2,6,6,1,0.28,1.08,1,2.39,2,0
071612_06,7/16/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4
071612_07,7/16/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
071612_08,7/16/12,3/18/11,2,2,6,6,1,4,3,1,2.1,4.48,1,1.33,1,0
071612_09,7/16/12,2/9/09,1,2,5,4,4,6,6,1,0.43,0.64,1,3.43,3,0
071612_10,7/16/12,2/1/09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28,3.21,1,3.45,3,1
071612_11,7/16/12,8/7/09,2,1,6,5,3,6,6,1,2.49,1.81,1,2.94,2,0
071612_12,7/16/12,2/10/10,2,2,5,6,1,4,6,1,2.35,1.73,1,2.43,2,0
071612_13,7/16/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
071612_14,7/16/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
071612_15,7/16/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4
071612_16,7/16/12,3/27/09,2,1,NaN,4,2,2,3,1,0.93,1.22,1,3.31,3,0
071612_17,7/16/12,11/30/09,1,1,6,4,3,6,2,1,0.72,0.76,1,2.63,2,1
071612_18,7/16/12,6/9/10,1,1,NaN,6,1,6,6,1,3.09,1.83,1,2.1,2,1
071612_19,7/16/12,9/17/09,1,2,2,2,2,6,6,2,0.69,0.74,1,2.83,2,0
071612_20,7/16/12,7/28/10,1,2,5,2,2,6,6,1,1.15,2.98,1,1.97,1,0
071712_01,7/17/12,12/25/08,2,2,6,6,1,4,4,2,7.05,3.19,1,3.56,3,0
071712_02,7/17/12,8/9/10,2,2,5,6,1,6,6,1,0.45,0.59,0,1.94,1,0
071712_03,7/17/12,3/22/10,1,2,5,6,1,6,3,1,6.36,7.66,1,2.32,2,0
071712_04,7/17/12,7/7/09,1,NaN,NaN,3,2,6,6,1,3.29,7.17,1,3.03,3,0
071712_05,7/17/12,12/30/10,1,2,5,6,1,6,6,1,1.77,1.84,1,1.55,1,0
071712_06,7/17/12,9/16/10,1,1,6,4,3,6,6,1,1.19,1.24,1,1.84,1,0
071712_07,7/17/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4
071712_08,7/17/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37,0.39,1,NaN,NaN,0
071712_09,7/17/12,4/29/10,2,2,5,6,1,4,4,1,1.39,2.33,1,2.22,2,0
071812_01,7/18/12,2/27/11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.53,1.24,1,1.39,1,5
071812_02,7/18/12,3/2/08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4.38,4,4
071812_03,7/18/12,7/28/10,2,1,6,6,1,6,6,1,0.37,0.95,1,1.98,1,0
071812_04,7/18/12,10/19/07,2,1,2,5,2,3,3,1,0.67,0.76,1,4.75,4,0
071812_05,7/18/12,9/23/10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44,1.63,1,1.82,1,0
071812_06,7/18/12,8/1/08,2,1,5,6,2,4,3,1,0.57,1.73,1,3.96,3,0
071812_07,7/18/12,2/23/10,2,2,5,6,1,4,4,1,0.98,1.16,1,2.4,2,0
071812_08,7/18/12,11/4/11,1,2,6,6,1,3,3,1,2.13,2.12,1,0.7,0,0
071812_09,7/18/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4
071812_10,7/18/12,3/27/11,2,1,5,6,1,6,4,1,1.26,2.66,1,1.31,1,6
071812_11,7/18/12,3/12/09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.43,9.26,1,3.35,3,0
071812_12,7/18/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4
071812_13,7/18/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,4
071812_14,7/18/12,1/26/11,1,2,2,4,2,6,6,1,2.96,0.91,1,1.48,1,0
071812_15,7/18/12,7/18/10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.28,2.48,1,2,2,0
071812_16,7/18/12,9/8/10,1,2,2,4,2,3,6,1,2.65,3.36,1,1.86,1,0
071812_17,7/18/12,10/7/08,1,1,5,6,1,6,4,1,3.81,3.56,1,3.78,3,0
071812_18,7/18/12,9/17/08,2,1,6,6,2,3,2,1,1.23,0.59,1,3.84,3,0
071812_19,7/18/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
071812_20,7/18/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4
071912_01,7/18/12,1/8/11,2,2,2,5,2,6,6,1,1,0.63,0,1.53,1,3
071912_02,7/18/12,3/5/11,2,1,5,3,2,4,4,1,1.35,1.01,1,1.37,1,0
071912_03,7/18/12,1/15/08,2,1,5,2,2,3,1,1,0.21,0.45,1,4.51,4,0
